,CountryOfExploitation,citizenship,majorityStatus,gender,yearOfRegistration,isForcedLabour,isSexualExploit,isOtherExploit,Cases,"Adolescent fertility rate (births per 1,000 women ages 15-19)_expl_country","Age at first marriage, female_expl_country","Age at first marriage, male_expl_country","Mortality rate, under-5, male (per 1,000)_expl_country","Mortality rate, under-5, female (per 1,000)_expl_country","Mortality rate, under-5 (per 1,000)_expl_country","Mortality rate, neonatal (per 1,000 live births)_expl_country","Mortality rate, adult, male (per 1,000 male adults)_expl_country","Mortality rate, adult, female (per 1,000 female adults)_expl_country",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)_expl_country,"Unemployment, female (% of female labor force)_expl_country","Unemployment, male (% of male labor force)_expl_country","Unemployment, total (% of total labor force)_expl_country","Adolescent fertility rate (births per 1,000 women ages 15-19)_cit_country","Age at first marriage, female_cit_country","Age at first marriage, male_cit_country","Mortality rate, under-5, male (per 1,000)_cit_country","Mortality rate, under-5, female (per 1,000)_cit_country","Mortality rate, under-5 (per 1,000)_cit_country","Mortality rate, neonatal (per 1,000 live births)_cit_country","Mortality rate, adult, male (per 1,000 male adults)_cit_country","Mortality rate, adult, female (per 1,000 female adults)_cit_country",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)_cit_country,"Unemployment, female (% of female labor force)_cit_country","Unemployment, male (% of male labor force)_cit_country","Unemployment, total (% of total labor force)_cit_country"
201,RU,UA,Adult,Male,2005,11.0,0.0,0.0,11,28.831,..,..,15.5,11.9,13.8,6.4,464.707,172.552,..,6.93400001525879,7.30700016021729,7.12400007247925,29.9582,23.9,..,16,12.9,14.5,8.7,403.431,150.196,..,6.82200002670288,7.51100015640259,7.17999982833862
202,RU,UA,Adult,Male,2006,74.0,0.0,0.0,74,29.237,..,..,14.3,11.1,12.8,5.9,427.15,157.269,..,6.68599987030029,7.41400003433228,7.05499982833862,30.1846,..,..,15.4,12.4,13.9,8.4,384.568,142.426,..,6.60200023651123,7.00299978256226,6.80999994277954
203,RU,UA,Adult,Male,2007,147.0,0.0,0.0,147,29.643,..,..,13.3,10.4,11.9,5.4,400.361,147.303,..,5.64200019836426,6.35200023651123,6.0019998550415,30.411,23.1,25.9,14.8,11.9,13.4,8,396.138,146.547,4.2,5.99499988555908,6.67899990081787,6.35099983215332
204,RU,UA,Adult,Male,2009,15.0,0.0,0.0,15,28.3538,..,..,11.9,9.4,10.7,4.6,369.933,138.365,..,7.67000007629395,8.9069995880127,8.30099964141846,29.4278,..,..,13.6,11,12.3,7.4,334.021,127.738,..,7.29899978637695,10.2740001678467,8.84000015258789
205,RU,UA,Adult,Male,2010,98.0,0.0,0.0,98,27.7092,24.4,27,11.5,9.1,10.4,4.4,365.448,136.446,..,6.83500003814697,7.8769998550415,7.36899995803833,28.9362,..,..,12.9,10.5,11.7,7,309.172,118.251,..,6.81500005722046,9.29300022125244,8.10000038146973
206,RU,UA,Adult,Male,2011,115.0,0.0,0.0,115,27.0646,..,..,11.2,8.9,10.1,4.6,346.714,129.735,..,6.08599996566772,6.96400022506714,6.53599977493286,28.4446,..,..,12.3,10,11.2,6.7,295.993,111.607,..,6.67899990081787,8.92399978637695,7.85099983215332
207,RU,UA,Adult,Male,2013,121.0,0.0,0.0,121,25.2758,..,..,10.5,8.4,9.5,4.8,321.874,120.12,..,5.13500022888184,5.76300001144409,5.45800018310547,27.1046,..,..,11.2,9.1,10.2,6.1,292.069,111.279,..,6.21600008010864,8.03499984741211,7.17000007629395
208,RU,UA,Adult,Male,2014,53.0,0.0,0.0,53,24.1316,..,..,9.9,7.9,8.9,4.4,321.526,120.336,..,4.82100009918213,5.48000001907349,5.15999984741211,26.2562,..,..,10.8,8.8,9.8,5.9,..,..,..,7.51599979400635,10.8439998626709,9.27000045776367
209,RU,UA,Adult,Male,2015,207.0,0.0,0.0,207,22.9874,..,..,9.1,7.3,8.2,3.9,..,..,..,5.30900001525879,5.81699991226196,5.57100009918213,25.4078,..,..,10.4,8.5,9.5,5.7,..,..,..,8.07699966430664,10.0959997177124,9.14000034332275
210,RU,UA,Adult,Male,2016,253.0,0.0,0.0,253,21.8432,..,..,8.3,6.7,7.5,3.5,..,..,..,5.34800004959106,5.75699996948242,5.55900001525879,24.5594,..,..,10.1,8.2,9.2,5.5,..,..,..,7.69299983978271,10.8339996337891,9.35000038146973
211,RU,UA,Adult,Male,2017,130.0,0.0,0.0,130,20.699,..,..,7.6,6.2,6.9,3.2,..,..,..,5.05100011825562,5.36399984359741,5.21199989318848,23.711,..,..,9.8,8,8.9,5.3,..,..,..,7.74700021743774,11.0860004425049,9.51000022888184
212,RU,UZ,Adult,Male,2017,0.0,0.0,0.0,11,20.699,..,..,7.6,6.2,6.9,3.2,..,..,..,5.05100011825562,5.36399984359741,5.21199989318848,23.79,..,..,22.3,16.8,19.6,11.2,170.549,101.845,..,5.61100006103516,5.98199987411499,5.82999992370605
213,SA,AF,Minor,Male,2015,14.0,0.0,0.0,14,8.5584,..,..,8.9,8,8.4,4.7,97.496,78.452,..,21.6569995880127,2.47199988365173,5.59000015258789,81.693,21.5,24.7,74,66.7,70.4,40.3,248.724,206.746,12.1,14.4270000457764,10.6840000152588,11.3870000839233
214,SA,ID,Adult,Female,2014,154.0,0.0,0.0,154,9.1756,..,..,9.5,8.6,9.1,5,98.601,79.639,..,21.7229995727539,2.77800011634827,5.71999979019165,49.2346,..,..,31.9,25.8,28.9,15.2,206.941,147.893,..,3.88299989700317,4.15000009536743,4.04899978637695
215,SA,ID,Adult,Female,2016,29.0,0.0,0.0,29,7.9412,27.1,30.5,8.3,7.4,7.9,4.4,96.391,77.266,..,21.173999786377,2.51900005340576,5.65000009536743,47.9942,..,..,29.5,23.8,26.7,13.9,203.988,143.435,..,3.86500000953674,4.57200002670288,4.30100011825562
216,SA,KE,Adult,Female,2017,42.0,42.0,0.0,21,7.324,26.6,30,7.7,7,7.4,4.1,95.287,76.08,..,20.3320007324219,3.07399988174438,5.8899998664856,75.078,..,..,50.3,42.4,46.4,21.9,252.222,174.376,..,2.85899996757507,2.53900003433228,2.6949999332428
217,SA,PH,unknown,Female,2016,44.0,0.0,0.0,60,7.9412,27.1,30.5,8.3,7.4,7.9,4.4,96.391,77.266,..,21.173999786377,2.51900005340576,5.65000009536743,54.779,..,..,32.3,26.1,29.3,14.3,260.571,135.647,..,2.86999988555908,2.6029999256134,2.70799994468689
218,SG,ID,Adult,Female,2014,37.0,0.0,0.0,37,3.7574,..,..,2.9,2.5,2.7,1,66.171,38.615,..,4.11199998855591,3.4779999256134,3.74000000953674,49.2346,..,..,31.9,25.8,28.9,15.2,206.941,147.893,..,3.88299989700317,4.15000009536743,4.04899978637695
219,SL,SL,Adult,Female,2018,0.0,0.0,0.0,16,110.2282,..,..,119.6,107.2,113.5,31.8,392.263,353.346,..,3.62400007247925,5.2020001411438,4.41699981689453,110.2282,..,..,119.6,107.2,113.5,31.8,392.263,353.346,..,3.62400007247925,5.2020001411438,4.41699981689453
220,SL,SL,Minor,Female,2008,0.0,0.0,0.0,40,142.1864,20.5,26.2,182.9,168.1,175.7,42.1,446.677,433.448,34,2.59999990463257,4.63800001144409,3.62700009346008,142.1864,20.5,26.2,182.9,168.1,175.7,42.1,446.677,433.448,34,2.59999990463257,4.63800001144409,3.62700009346008
221,SL,SL,Minor,Male,2008,0.0,0.0,0.0,25,142.1864,20.5,26.2,182.9,168.1,175.7,42.1,446.677,433.448,34,2.59999990463257,4.63800001144409,3.62700009346008,142.1864,20.5,26.2,182.9,168.1,175.7,42.1,446.677,433.448,34,2.59999990463257,4.63800001144409,3.62700009346008
222,SN,BF,Adult,Male,2010,0.0,0.0,0.0,14,87.5702,..,..,71,61.4,66.3,26.8,241.8,182,..,13.9670000076294,8.18900012969971,10.3450002670288,121.1052,19.5,25.3,126.7,116.4,121.7,30.9,296.047,265.826,23.6,6.20900011062622,3.55900001525879,4.71700000762939
223,SN,BF,Minor,Male,2010,0.0,0.0,0.0,19,87.5702,..,..,71,61.4,66.3,26.8,241.8,182,..,13.9670000076294,8.18900012969971,10.3450002670288,121.1052,19.5,25.3,126.7,116.4,121.7,30.9,296.047,265.826,23.6,6.20900011062622,3.55900001525879,4.71700000762939
224,SN,CI,Minor,Male,2007,0.0,0.0,0.0,31,93.524,..,..,84.5,74.3,79.5,29.7,255,203.001,..,13.5539999008179,7.80000019073486,9.85200023651123,131.954,..,..,128.5,107.1,118.1,40.9,445.448,415.695,..,5.56899976730347,5.70499992370605,5.65399980545044
225,SN,GN,Minor,Male,2008,0.0,0.0,0.0,15,91.5394,..,..,79.4,69.4,74.5,28.6,250.6,196.001,..,13.4060001373291,7.75699996948242,9.80200004577637,153.4778,..,..,130.3,116.8,123.6,35.9,318.8,280.4,..,3.20499992370605,5.36399984359741,4.19899988174438
226,SN,GW,Minor,Male,2007,21.0,0.0,0.0,85,93.524,..,..,84.5,74.3,79.5,29.7,255,203.001,..,13.5539999008179,7.80000019073486,9.85200023651123,120.13,..,..,139.8,122,131.1,48.2,318.634,273.923,..,2.17000007629395,2.68199992179871,2.43600010871887
227,SN,GW,Minor,Male,2010,0.0,0.0,0.0,60,87.5702,..,..,71,61.4,66.3,26.8,241.8,182,..,13.9670000076294,8.18900012969971,10.3450002670288,112.732,21.7,..,120.9,105.1,113.1,44.2,312.55,262.69,..,2.39800000190735,2.89499998092651,2.65599989891052
228,SN,ML,Minor,Female,2007,0.0,0.0,0.0,19,93.524,..,..,84.5,74.3,79.5,29.7,255,203.001,..,13.5539999008179,7.80000019073486,9.85200023651123,185.469,..,..,151.8,138.5,145.3,41.5,300.865,282,..,12.9670000076294,10.7440004348755,11.710000038147
229,SN,ML,Minor,Male,2010,0.0,0.0,0.0,26,87.5702,..,..,71,61.4,66.3,26.8,241.8,182,..,13.9670000076294,8.18900012969971,10.3450002670288,181.5306,19.2,..,136.4,123.8,130.3,38.8,295.666,276,..,10.8940000534058,5.9229998588562,8.06999969482422
230,SN,NE,Minor,Male,2010,0.0,0.0,0.0,31,87.5702,..,..,71,61.4,66.3,26.8,241.8,182,..,13.9670000076294,8.18900012969971,10.3450002670288,204.293,..,..,126.3,117.9,122.2,30.5,281.462,253.062,..,0.538999974727631,0.620000004768372,0.583999991416931
231,SN,SN,Minor,Male,2007,0.0,0.0,0.0,14,93.524,..,..,84.5,74.3,79.5,29.7,255,203.001,..,13.5539999008179,7.80000019073486,9.85200023651123,93.524,..,..,84.5,74.3,79.5,29.7,255,203.001,..,13.5539999008179,7.80000019073486,9.85200023651123
232,SN,SN,Minor,Male,2008,12.0,0.0,0.0,12,91.5394,..,..,79.4,69.4,74.5,28.6,250.6,196.001,..,13.4060001373291,7.75699996948242,9.80200004577637,91.5394,..,..,79.4,69.4,74.5,28.6,250.6,196.001,..,13.4060001373291,7.75699996948242,9.80200004577637
233,SN,SN,Minor,Male,2010,0.0,0.0,0.0,44,87.5702,..,..,71,61.4,66.3,26.8,241.8,182,..,13.9670000076294,8.18900012969971,10.3450002670288,87.5702,..,..,71,61.4,66.3,26.8,241.8,182,..,13.9670000076294,8.18900012969971,10.3450002670288
234,SY,ID,Adult,Female,2014,41.0,0.0,0.0,41,41.4096,..,..,25.7,22,23.9,10.4,279.754,83.974,..,21.3549995422363,6.16800022125244,8.58100032806396,49.2346,..,..,31.9,25.8,28.9,15.2,206.941,147.893,..,3.88299989700317,4.15000009536743,4.04899978637695
235,TH,KH,Adult,Female,2017,0.0,0.0,0.0,13,44.908,..,..,10.8,8.8,9.9,5.8,199.348,91.148,..,0.845000028610229,0.818000018596649,0.829999983310699,50.177,..,..,32,25.4,28.8,15.7,202.166,134.547,..,0.813000023365021,0.560000002384186,0.683000028133392
236,TH,KH,Adult,Male,2016,0.0,0.0,0.0,76,46.239,..,..,11.4,9.2,10.3,6.1,201.685,92.452,..,0.71399998664856,0.666000008583069,0.688000023365021,49.9048,..,..,33.5,26.5,30.1,16.3,205.317,138.694,..,0.851000010967255,0.58899998664856,0.716000020503998
237,TH,KH,Adult,Male,2017,0.0,0.0,0.0,113,44.908,..,..,10.8,8.8,9.9,5.8,199.348,91.148,..,0.845000028610229,0.818000018596649,0.829999983310699,50.177,..,..,32,25.4,28.8,15.7,202.166,134.547,..,0.813000023365021,0.560000002384186,0.683000028133392
238,TH,KH,Minor,Female,2010,0.0,0.0,0.0,17,47.9138,24.9,28.5,15,12.1,13.6,8,215.513,104.838,..,0.621999979019165,0.620999991893768,0.621999979019165,48.0808,22,24.9,48.5,39.3,44,21.2,224.738,164.488,8.2,0.794000029563904,0.746999979019165,0.771000027656555
239,TH,KH,Minor,Male,2010,0.0,0.0,0.0,35,47.9138,24.9,28.5,15,12.1,13.6,8,215.513,104.838,..,0.621999979019165,0.620999991893768,0.621999979019165,48.0808,22,24.9,48.5,39.3,44,21.2,224.738,164.488,8.2,0.794000029563904,0.746999979019165,0.771000027656555
240,TH,LA,Minor,Female,2010,12.0,0.0,12.0,126,47.9138,24.9,28.5,15,12.1,13.6,8,215.513,104.838,..,0.621999979019165,0.620999991893768,0.621999979019165,69.4152,..,..,73.8,61.8,68,28.6,238.84,195.219,..,0.66100001335144,0.755999982357025,0.708000004291534
241,TH,unknown,unknown,Female,2018,0.0,11.0,0.0,11,44.6888,..,..,10.4,8.4,9.4,5.5,186.853,77.992,..,0.742999970912933,0.783999979496002,0.765999972820282,,,,,,,,,,,,,
242,TJ,BD,Adult,Male,2015,0.0,0.0,0.0,11,54.4168,..,..,42.1,33.2,37.7,16.2,164.587,104.843,..,10.4169998168945,12.1450004577637,11.5010004043579,85.2192,..,..,39.8,35.2,37.5,22.5,150.041,109.465,..,7.46700000762939,3.16100001335144,4.37799978256226
243,TJ,TJ,Adult,Female,2005,0.0,0.0,0.0,11,43.8044,22.9,..,61.6,49.6,55.8,23.1,189.48,127.06,..,11.8020000457764,13.6140003204346,12.9630002975464,43.8044,22.9,..,61.6,49.6,55.8,23.1,189.48,127.06,..,11.8020000457764,13.6140003204346,12.9630002975464
244,TJ,TJ,Adult,Male,2011,0.0,0.0,0.0,32,49.2628,..,..,46.4,36.6,41.6,19.3,170.686,111.308,..,10.539999961853,12.1979999542236,11.6140003204346,49.2628,..,..,46.4,36.6,41.6,19.3,170.686,111.308,..,10.539999961853,12.1979999542236,11.6140003204346
245,TM,TM,Adult,Female,2010,0.0,0.0,0.0,15,24.7322,..,..,48.5,36.8,42.8,22.7,260.71,140.792,..,2.26900005340576,5.22800016403198,4,24.7322,..,..,48.5,36.8,42.8,22.7,260.71,140.792,..,2.26900005340576,5.22800016403198,4
246,TM,TM,Adult,Female,2011,0.0,0.0,0.0,11,25.5936,..,..,47.7,36.2,42.1,22.6,256.483,138.327,..,2.29800009727478,5.20699977874756,4.0019998550415,25.5936,..,..,47.7,36.2,42.1,22.6,256.483,138.327,..,2.29800009727478,5.20699977874756,4.0019998550415
247,TR,MD,Adult,Female,2006,12.0,23.0,0.0,23,39.8638,..,..,25.8,23.2,24.5,12.5,166.508,85.259,..,9.09700012207031,8.58300018310547,8.7180004119873,27.9222,..,..,20.8,16.6,18.7,13.3,309.62,149.985,..,5.79699993133545,8.96700000762939,7.38000011444092
248,TR,UA,Adult,Female,2005,43.0,80.0,0.0,80,41.2136,..,..,27.8,25.1,26.5,13.6,169.48,87.677,..,11.1800003051758,10.4440002441406,10.6359996795654,29.9582,23.9,..,16,12.9,14.5,8.7,403.431,150.196,..,6.82200002670288,7.51100015640259,7.17999982833862
249,TR,UA,Adult,Female,2006,0.0,40.0,0.0,40,39.8638,..,..,25.8,23.2,24.5,12.5,166.508,85.259,..,9.09700012207031,8.58300018310547,8.7180004119873,30.1846,..,..,15.4,12.4,13.9,8.4,384.568,142.426,..,6.60200023651123,7.00299978256226,6.80999994277954
250,TR,UA,Adult,Female,2007,15.0,54.0,0.0,54,38.514,..,..,23.9,21.5,22.7,11.5,163.536,82.84,..,9.14599990844727,8.76900005340576,8.86800003051758,30.411,23.1,25.9,14.8,11.9,13.4,8,396.138,146.547,4.2,5.99499988555908,6.67899990081787,6.35099983215332
251,TT,ID,Adult,Male,2014,85.0,0.0,0.0,85,32.919,..,..,22.2,18.3,20.3,13.5,216.52,123.419,..,2.56100010871887,1.97599995136261,2.22399997711182,49.2346,..,..,31.9,25.8,28.9,15.2,206.941,147.893,..,3.88299989700317,4.15000009536743,4.04899978637695
252,TW,ID,Adult,Female,2014,33.0,0.0,0.0,33,23.0026,..,..,9.5,7.8,8.6,5.2,..,..,..,7.42399978637695,10.0290002822876,8.79899978637695,,,,,,,,,,,,,
253,UA,0,Minor,Female,2018,0.0,0.0,0.0,12,23.0026,..,..,9.5,7.8,8.6,5.2,..,..,..,7.42399978637695,10.0290002822876,8.79899978637695,,,,,,,,,,,,,
254,UA,0,Minor,Male,2018,0.0,0.0,0.0,24,27.953,23,..,11.7,9.5,10.7,6.4,295.545,112.032,..,6.44199991226196,8.50300025939941,7.52899980545044,25.767,21.9,25.7,18.3,14.6,16.5,12.3,250.591,102.165,..,4.28599977493286,6.81799983978271,5.57800006866455
255,UA,MD,Adult,Male,2012,0.0,0.0,0.0,12,25.4078,..,..,10.4,8.5,9.5,5.7,..,..,..,8.07699966430664,10.0959997177124,9.14000034332275,23.7558,..,..,17.3,13.8,15.6,11.6,243.767,98.788,..,2.92000007629395,4.44500017166138,3.69400000572205
256,UA,MD,Minor,Female,2015,0.0,0.0,0.0,12,24.5594,..,..,10.1,8.2,9.2,5.5,..,..,..,7.69299983978271,10.8339996337891,9.35000038146973,23.0854,..,..,16.9,13.5,15.3,11.4,241.492,97.662,..,2.88000011444092,5.44799995422363,4.18499994277954
257,UA,MD,Minor,Female,2016,0.0,0.0,0.0,11,25.4078,..,..,10.4,8.5,9.5,5.7,..,..,..,8.07699966430664,10.0959997177124,9.14000034332275,23.7558,..,..,17.3,13.8,15.6,11.6,243.767,98.788,..,2.92000007629395,4.44500017166138,3.69400000572205
258,UA,MD,Minor,Male,2015,0.0,0.0,0.0,17,24.5594,..,..,10.1,8.2,9.2,5.5,..,..,..,7.69299983978271,10.8339996337891,9.35000038146973,23.0854,..,..,16.9,13.5,15.3,11.4,241.492,97.662,..,2.88000011444092,5.44799995422363,4.18499994277954
259,UA,MD,Minor,Male,2016,0.0,0.0,0.0,12,30.411,23.1,25.9,14.8,11.9,13.4,8,396.138,146.547,4.2,5.99499988555908,6.67899990081787,6.35099983215332,30.411,23.1,25.9,14.8,11.9,13.4,8,396.138,146.547,4.2,5.99499988555908,6.67899990081787,6.35099983215332
260,UA,UA,Adult,Female,2007,0.0,55.0,0.0,67,29.9194,..,..,14.2,11.5,12.9,7.7,391.412,145.477,..,6.08799982070923,6.61800003051758,6.36299991607666,29.9194,..,..,14.2,11.5,12.9,7.7,391.412,145.477,..,6.08799982070923,6.61800003051758,6.36299991607666
261,UA,UA,Adult,Female,2008,31.0,0.0,0.0,384,29.4278,..,..,13.6,11,12.3,7.4,334.021,127.738,..,7.29899978637695,10.2740001678467,8.84000015258789,29.4278,..,..,13.6,11,12.3,7.4,334.021,127.738,..,7.29899978637695,10.2740001678467,8.84000015258789
262,UA,UA,Adult,Female,2009,0.0,0.0,0.0,266,28.9362,..,..,12.9,10.5,11.7,7,309.172,118.251,..,6.81500005722046,9.29300022125244,8.10000038146973,28.9362,..,..,12.9,10.5,11.7,7,309.172,118.251,..,6.81500005722046,9.29300022125244,8.10000038146973
263,UA,UA,Adult,Female,2010,0.0,0.0,0.0,195,28.4446,..,..,12.3,10,11.2,6.7,295.993,111.607,..,6.67899990081787,8.92399978637695,7.85099983215332,28.4446,..,..,12.3,10,11.2,6.7,295.993,111.607,..,6.67899990081787,8.92399978637695,7.85099983215332
264,UA,UA,Adult,Female,2011,0.0,0.0,0.0,197,27.953,23,..,11.7,9.5,10.7,6.4,295.545,112.032,..,6.44199991226196,8.50300025939941,7.52899980545044,27.953,23,..,11.7,9.5,10.7,6.4,295.545,112.032,..,6.44199991226196,8.50300025939941,7.52899980545044
265,UA,UA,Adult,Female,2012,0.0,0.0,0.0,355,27.1046,..,..,11.2,9.1,10.2,6.1,292.069,111.279,..,6.21600008010864,8.03499984741211,7.17000007629395,27.1046,..,..,11.2,9.1,10.2,6.1,292.069,111.279,..,6.21600008010864,8.03499984741211,7.17000007629395
266,UA,UA,Adult,Female,2013,0.0,0.0,0.0,213,26.2562,..,..,10.8,8.8,9.8,5.9,..,..,..,7.51599979400635,10.8439998626709,9.27000045776367,26.2562,..,..,10.8,8.8,9.8,5.9,..,..,..,7.51599979400635,10.8439998626709,9.27000045776367
267,UA,UA,Adult,Female,2014,0.0,0.0,0.0,273,25.4078,..,..,10.4,8.5,9.5,5.7,..,..,..,8.07699966430664,10.0959997177124,9.14000034332275,25.4078,..,..,10.4,8.5,9.5,5.7,..,..,..,8.07699966430664,10.0959997177124,9.14000034332275
268,UA,UA,Adult,Female,2015,0.0,0.0,0.0,62,24.5594,..,..,10.1,8.2,9.2,5.5,..,..,..,7.69299983978271,10.8339996337891,9.35000038146973,24.5594,..,..,10.1,8.2,9.2,5.5,..,..,..,7.69299983978271,10.8339996337891,9.35000038146973
269,UA,UA,Adult,Female,2016,0.0,0.0,0.0,204,23.711,..,..,9.8,8,8.9,5.3,..,..,..,7.74700021743774,11.0860004425049,9.51000022888184,23.711,..,..,9.8,8,8.9,5.3,..,..,..,7.74700021743774,11.0860004425049,9.51000022888184
270,UA,UA,Adult,Female,2017,0.0,0.0,0.0,441,23.0026,..,..,9.5,7.8,8.6,5.2,..,..,..,7.42399978637695,10.0290002822876,8.79899978637695,23.0026,..,..,9.5,7.8,8.6,5.2,..,..,..,7.42399978637695,10.0290002822876,8.79899978637695
271,UA,UA,Adult,Female,2018,0.0,0.0,0.0,141,29.9194,..,..,14.2,11.5,12.9,7.7,391.412,145.477,..,6.08799982070923,6.61800003051758,6.36299991607666,29.9194,..,..,14.2,11.5,12.9,7.7,391.412,145.477,..,6.08799982070923,6.61800003051758,6.36299991607666
272,UA,UA,Adult,Male,2008,12.0,0.0,0.0,51,28.9362,..,..,12.9,10.5,11.7,7,309.172,118.251,..,6.81500005722046,9.29300022125244,8.10000038146973,28.9362,..,..,12.9,10.5,11.7,7,309.172,118.251,..,6.81500005722046,9.29300022125244,8.10000038146973
273,UA,UA,Adult,Male,2010,11.0,0.0,0.0,38,28.4446,..,..,12.3,10,11.2,6.7,295.993,111.607,..,6.67899990081787,8.92399978637695,7.85099983215332,28.4446,..,..,12.3,10,11.2,6.7,295.993,111.607,..,6.67899990081787,8.92399978637695,7.85099983215332
274,UA,UA,Adult,Male,2011,0.0,0.0,0.0,89,27.953,23,..,11.7,9.5,10.7,6.4,295.545,112.032,..,6.44199991226196,8.50300025939941,7.52899980545044,27.953,23,..,11.7,9.5,10.7,6.4,295.545,112.032,..,6.44199991226196,8.50300025939941,7.52899980545044
275,UA,UA,Adult,Male,2012,0.0,0.0,0.0,453,27.1046,..,..,11.2,9.1,10.2,6.1,292.069,111.279,..,6.21600008010864,8.03499984741211,7.17000007629395,27.1046,..,..,11.2,9.1,10.2,6.1,292.069,111.279,..,6.21600008010864,8.03499984741211,7.17000007629395
276,UA,UA,Adult,Male,2013,0.0,0.0,0.0,251,26.2562,..,..,10.8,8.8,9.8,5.9,..,..,..,7.51599979400635,10.8439998626709,9.27000045776367,26.2562,..,..,10.8,8.8,9.8,5.9,..,..,..,7.51599979400635,10.8439998626709,9.27000045776367
277,UA,UA,Adult,Male,2014,0.0,0.0,0.0,382,24.5594,..,..,10.1,8.2,9.2,5.5,..,..,..,7.69299983978271,10.8339996337891,9.35000038146973,24.5594,..,..,10.1,8.2,9.2,5.5,..,..,..,7.69299983978271,10.8339996337891,9.35000038146973
278,UA,UA,Adult,Male,2016,0.0,0.0,0.0,268,23.711,..,..,9.8,8,8.9,5.3,..,..,..,7.74700021743774,11.0860004425049,9.51000022888184,23.711,..,..,9.8,8,8.9,5.3,..,..,..,7.74700021743774,11.0860004425049,9.51000022888184
279,UA,UA,Adult,Male,2017,0.0,0.0,0.0,588,23.0026,..,..,9.5,7.8,8.6,5.2,..,..,..,7.42399978637695,10.0290002822876,8.79899978637695,23.0026,..,..,9.5,7.8,8.6,5.2,..,..,..,7.42399978637695,10.0290002822876,8.79899978637695
280,UA,UA,Adult,Male,2018,0.0,0.0,0.0,227,28.9362,..,..,12.9,10.5,11.7,7,309.172,118.251,..,6.81500005722046,9.29300022125244,8.10000038146973,28.9362,..,..,12.9,10.5,11.7,7,309.172,118.251,..,6.81500005722046,9.29300022125244,8.10000038146973
281,UA,UA,Minor,Female,2010,0.0,0.0,0.0,11,28.4446,..,..,12.3,10,11.2,6.7,295.993,111.607,..,6.67899990081787,8.92399978637695,7.85099983215332,28.4446,..,..,12.3,10,11.2,6.7,295.993,111.607,..,6.67899990081787,8.92399978637695,7.85099983215332
282,UA,UA,Minor,Female,2011,0.0,0.0,0.0,19,27.953,23,..,11.7,9.5,10.7,6.4,295.545,112.032,..,6.44199991226196,8.50300025939941,7.52899980545044,27.953,23,..,11.7,9.5,10.7,6.4,295.545,112.032,..,6.44199991226196,8.50300025939941,7.52899980545044
283,UA,UA,Minor,Female,2012,0.0,0.0,0.0,34,25.4078,..,..,10.4,8.5,9.5,5.7,..,..,..,8.07699966430664,10.0959997177124,9.14000034332275,25.4078,..,..,10.4,8.5,9.5,5.7,..,..,..,8.07699966430664,10.0959997177124,9.14000034332275
284,UA,UA,Minor,Female,2015,0.0,0.0,0.0,16,23.711,..,..,9.8,8,8.9,5.3,..,..,..,7.74700021743774,11.0860004425049,9.51000022888184,23.711,..,..,9.8,8,8.9,5.3,..,..,..,7.74700021743774,11.0860004425049,9.51000022888184
285,UA,UA,Minor,Female,2017,0.0,0.0,0.0,14,23.0026,..,..,9.5,7.8,8.6,5.2,..,..,..,7.42399978637695,10.0290002822876,8.79899978637695,23.0026,..,..,9.5,7.8,8.6,5.2,..,..,..,7.42399978637695,10.0290002822876,8.79899978637695
286,UA,UA,Minor,Female,2018,0.0,0.0,0.0,14,28.4446,..,..,12.3,10,11.2,6.7,295.993,111.607,..,6.67899990081787,8.92399978637695,7.85099983215332,28.4446,..,..,12.3,10,11.2,6.7,295.993,111.607,..,6.67899990081787,8.92399978637695,7.85099983215332
287,UA,UA,Minor,Male,2011,0.0,0.0,0.0,18,27.953,23,..,11.7,9.5,10.7,6.4,295.545,112.032,..,6.44199991226196,8.50300025939941,7.52899980545044,27.953,23,..,11.7,9.5,10.7,6.4,295.545,112.032,..,6.44199991226196,8.50300025939941,7.52899980545044
288,UA,UA,Minor,Male,2012,0.0,0.0,0.0,17,23.0026,..,..,9.5,7.8,8.6,5.2,..,..,..,7.42399978637695,10.0290002822876,8.79899978637695,23.0026,..,..,9.5,7.8,8.6,5.2,..,..,..,7.42399978637695,10.0290002822876,8.79899978637695
289,UA,UA,Minor,Male,2018,0.0,0.0,0.0,11,150.734,..,..,101.1,85.6,93.5,26.8,429.089,368.163,..,2.85599994659424,2.17899990081787,2.50300002098084,130.77,20.8,25.2,135.7,118.9,127.5,34.6,322.952,272.718,23.8,2.38000011444092,3.76999998092651,3.08100008964539
290,UG,CD,Minor,Female,2007,0.0,0.0,0.0,25,150.734,..,..,101.1,85.6,93.5,26.8,429.089,368.163,..,2.85599994659424,2.17899990081787,2.50300002098084,130.77,20.8,25.2,135.7,118.9,127.5,34.6,322.952,272.718,23.8,2.38000011444092,3.76999998092651,3.08100008964539
291,UG,CD,Minor,Male,2007,0.0,0.0,0.0,28,..,..,..,50.5,41,45.8,20,..,..,..,2.2960000038147,1.40299999713898,1.84300005435944,..,..,..,50.5,41,45.8,20,..,..,..,2.2960000038147,1.40299999713898,1.84300005435944
