,CountryOfExploitation,citizenship,majorityStatus,gender,yearOfRegistration,isForcedLabour,isSexualExploit,isOtherExploit,Cases,"Adolescent fertility rate (births per 1,000 women ages 15-19)_expl_country","Age at first marriage, female_expl_country","Age at first marriage, male_expl_country","Mortality rate, under-5, male (per 1,000)_expl_country","Mortality rate, under-5, female (per 1,000)_expl_country","Mortality rate, under-5 (per 1,000)_expl_country","Mortality rate, neonatal (per 1,000 live births)_expl_country","Mortality rate, adult, male (per 1,000 male adults)_expl_country","Mortality rate, adult, female (per 1,000 female adults)_expl_country",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)_expl_country,"Unemployment, female (% of female labor force)_expl_country","Unemployment, male (% of male labor force)_expl_country","Unemployment, total (% of total labor force)_expl_country","Adolescent fertility rate (births per 1,000 women ages 15-19)_cit_country","Age at first marriage, female_cit_country","Age at first marriage, male_cit_country","Mortality rate, under-5, male (per 1,000)_cit_country","Mortality rate, under-5, female (per 1,000)_cit_country","Mortality rate, under-5 (per 1,000)_cit_country","Mortality rate, neonatal (per 1,000 live births)_cit_country","Mortality rate, adult, male (per 1,000 male adults)_cit_country","Mortality rate, adult, female (per 1,000 female adults)_cit_country",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)_cit_country,"Unemployment, female (% of female labor force)_cit_country","Unemployment, male (% of male labor force)_cit_country","Unemployment, total (% of total labor force)_cit_country"
73,KH,unknown,Minor,Male,2017,0.0,14.0,0.0,14,50.177,..,..,32,25.4,28.8,15.7,202.166,134.547,..,0.813000023365021,0.560000002384186,0.683000028133392,,,,,,,,,,,,,
74,KW,PH,unknown,Female,2016,160.0,0.0,49.0,209,8.4444,..,..,9.2,7.7,8.5,4.8,71.056,42.887,..,5.61899995803833,0.906000018119812,2.16000008583069,54.779,..,..,32.3,26.1,29.3,14.3,260.571,135.647,..,2.86999988555908,2.6029999256134,2.70799994468689
75,KZ,KG,Adult,Male,2008,11.0,0.0,0.0,11,28.7044,..,..,27.9,21.2,24.7,15.3,365.581,149.086,..,7.96500015258789,5.34000015258789,6.63000011444092,32.6004,..,..,37.4,30.1,33.8,18.3,293.085,134.443,..,9.40299987792969,7.35799980163574,8.22000026702881
76,KZ,KG,Adult,Male,2010,45.0,0.0,0.0,45,30.0072,..,..,23.1,17.5,20.4,11.8,336,137.893,..,6.6399998664856,4.93800020217896,5.76999998092651,38.3092,..,..,32.7,26.2,29.5,17.2,273.822,123.804,..,9.9399995803833,7.71000003814697,8.64000034332275
77,KZ,KG,Adult,Male,2011,27.0,0.0,0.0,27,30.6586,23.1,26.3,20.7,15.8,18.3,10.1,321.21,132.296,..,6.21400022506714,4.60300016403198,5.3899998664856,41.1636,..,..,30.7,24.5,27.7,16.5,264.191,118.485,..,9.85099983215332,7.58099985122681,8.52999973297119
78,KZ,KG,Adult,Male,2014,11.0,0.0,0.0,11,30.686,..,..,14.7,11.3,13,6.3,272.994,114.194,..,5.67500019073486,4.47700023651123,5.05999994277954,39.516,21.2,..,26,20.8,23.5,15.2,237.716,105.916,..,9.49199962615967,7.0310001373291,8.05000019073486
79,KZ,KZ,Adult,Female,2010,0.0,13.0,0.0,13,30.0072,..,..,23.1,17.5,20.4,11.8,336,137.893,..,6.6399998664856,4.93800020217896,5.76999998092651,30.0072,..,..,23.1,17.5,20.4,11.8,336,137.893,..,6.6399998664856,4.93800020217896,5.76999998092651
80,KZ,KZ,Adult,Female,2011,0.0,0.0,0.0,41,30.6586,23.1,26.3,20.7,15.8,18.3,10.1,321.21,132.296,..,6.21400022506714,4.60300016403198,5.3899998664856,30.6586,23.1,26.3,20.7,15.8,18.3,10.1,321.21,132.296,..,6.21400022506714,4.60300016403198,5.3899998664856
81,KZ,UA,Adult,Male,2015,17.0,0.0,0.0,17,30.374,22.4,..,13.3,10.3,11.8,5.6,256.281,107.941,..,5.5,4.39200019836426,4.92999982833862,25.4078,..,..,10.4,8.5,9.5,5.7,..,..,..,8.07699966430664,10.0959997177124,9.14000034332275
82,KZ,UZ,Adult,Male,2011,0.0,0.0,0.0,31,30.6586,23.1,26.3,20.7,15.8,18.3,10.1,321.21,132.296,..,6.21400022506714,4.60300016403198,5.3899998664856,22.6534,..,..,35,26.6,30.9,17.4,191.884,113.735,..,4.70100021362305,5.14300012588501,4.96000003814697
83,KZ,UZ,Adult,Male,2015,11.0,0.0,0.0,11,30.374,22.4,..,13.3,10.3,11.8,5.6,256.281,107.941,..,5.5,4.39200019836426,4.92999982833862,23.79,..,..,25.8,19.5,22.8,13,176.279,105.351,..,4.88600015640259,5.33300018310547,5.15000009536743
84,KZ,UZ,Adult,Male,2017,15.0,0.0,0.0,15,29.75,..,..,11.8,9.1,10.5,4.8,222.855,95.436,..,5.43499994277954,4.40399980545044,4.90000009536743,23.79,..,..,22.3,16.8,19.6,11.2,170.549,101.845,..,5.61100006103516,5.98199987411499,5.82999992370605
85,LB,NP,Adult,Female,2015,27.0,0.0,0.0,27,15.2896,..,..,8.7,7.9,8.3,4.8,70.223,50.412,..,10.3929996490479,5.06899976730347,6.35699987411499,69.5002,..,..,38.5,33.8,36.2,22.4,175.316,133.892,..,1.25300002098083,1.75,1.47500002384186
86,LB,PH,Adult,Female,2015,28.0,0.0,0.0,28,15.2896,..,..,8.7,7.9,8.3,4.8,70.223,50.412,..,10.3929996490479,5.06899976730347,6.35699987411499,55.404,24.6,27.2,32.9,26.6,29.8,14.4,262.057,137.416,..,3.21900010108948,2.96900010108948,3.06800007820129
